Last Name,First Name,Title,ISBN,H/S,Comments
Jonnes,Jill,Eiffel's Tower,978-0-14-311729-2,S,
Jönsson,Reidar,My Life as a Dog,0-374-52379-7,S,
Jordan,Hillary,Mudbound,978-1-56512-677-0,S,
Jordan,Hillary,When She Woke,978-1-56512-629-9,H,
Jordan,Robert,The Dragon Reborn,0-812-51371-1,S,
Just,Ward,Stringer,0-915308-61-4,S,
Kains,M. G. ,Five Acres and Independence,,S,
Kaup,Elizabeth Dewing,Not For the Meek,,H,
Kay,Elizabeth,The Divide,0-439-45696-7,H,
Kearsely,Susanna,The Winter Sea,978-1-4022-4137-6,S,
Kelland,Clarence Budington,Mark Tidd In Sicily,,H,
Kellerman,Jonathan,Billy Straight,0-345-41386-5,S,
Kennedy,Robert F.,To Seek a Newer World,,S,
Kennedy,William,Ironweed,0-14-007020-6,S,
Kent,Kathleen,The Heretic's Daughter,978-0-316-02449-5,S,
Kerman,Piper,Orange is the New Black,978-0-385-52339-4,S,
Keyes,Frances Parkinson,Joy Street,,H,
Khayyám,Omar,Rubáiyát of Omar Khayyám,,S,
Khayyám,Omar,Rubáiyát of Omar Khayyám,,H,
Kidder,Tracy,Among Schoolchildren,0-395-47591-0,H,
Kidder,Tracy,Mountains Beyond Mountains,0-8129-7301-1,S,
Kidder,Tracy,Strength in What Remains,978-0-8129-7761-5,S,
Kiernan,Denise,The Girls of Atomic City,978-1-4516-1753-5,S,
Kingsolver,Barbara,The Bean Trees,0-06-091554-4,S,
Kingsolver,Barbara,The Poisonwood Bible,0-06-093053-5,S,
Kitto,H. D. F.,The Greeks,,S,
Klutz,,The Encyclopedia of Immaturity,978-1-59174-543-3,S,
Koppes,Clayton R.,JPL and the American Space Program,0-300-02408-8,H,
Kostova,Elizabeth,The Swan Thieves,978-0-316-06579-5,S,
Krakauer,Jon,Under the Banner of Heaven,1-4000-3280-6,S,
Krakauer,Jon,Where Men Win Glory,978-0-307-38604-5,S,
Krantz,Judith,Till We Meet Again,0-517-57026-2,H,
Kreck,Dick,Murder at the Brown Palace,1-55591-463-2,S,
Kundera,Milan,The Unbearable Lightness of Being,0-06-093213-9,S,
Kurson,Robert,Shadow Divers,0-375-76098-9,S,
Kurzweil,Ray,How to Create a Mind,978-0-14-312404-7,S,
Kyne,Peter B.,Kindred of the Dust,,H,
L'Amour,Louis,Galloway,0-553-27675-1,S,
L'Amour,Louis,Hondo,0-553-28090-2,S,
L'Amour,Louis,Sackett,0-553-27684-0,S,
L'Amour,Louis,The Quicksand and the Dead,,S,
L'Engle,Medeleine,A Wrinkle in Time,0-374-38613-7,H,
Lahiri,Jhumpa,Interpreter of Maladies,978-0-395-92720-5,S,
Lahiri,Jhumpa,Unaccustomed Earth,978-0-307-27825-8,S,
Lambert,Mark,Reptiles,0-7894-2046-5,S,
Land,Brad,Goat,1-4000-6093-1,H,
Landsburg,Alan,In Search of Ancient Mysteries,,S,
Langton,Jane,The Fledgling,0-590-43451-9,S,
Larson,Erik,In the Garden of Beasts,978-0-307-40885-3,S,
Larsson,Stieg,The Girl Who Played With Fire,978-0-307-45455-3,S,
Larsson,Stieg,The Girl With the Dragon Tattoo,978-0-307-45454-6,S,
Lawrence,D.H.,Lady Chatterley's Lover,0-451-52247-8,S,
Lawrence,D.H.,Sons and Lovers,,S,
Lawrence,D.H.,Women In Love,0-14-004260-1,S,
Lawrence,T.E.,Seven Pillars of Wisdom,0-385-41895-7,S,
le Carré,John,The Constant Gardener,978-0-7432-8720-3,S,
le Carré,John,The Mission Song,978-0-316-01674-2,H,
le Carré,John,The Tailor of Panama,0-679-45446-2,H,
le Carré,John,"Tinker, Tailor, Soldier, Spy",,H,
Leary,Ann,The Good House,978-1-250-01554-9,H,
Lee,Chang-rae,A Gesture Life,1-57322-828-1,S,
Lee,Harper,To Kill a Mockingbrid,978-0-446-31078-9,S,
Lefkowitz,Bernard,Our Guys,0-375-70269-5,S,
Lejeune,Anthony,The Concise Dictionary of Foreign Quotations,1-57958-341-5,H,
Lethem,Jonathan,You Don't Love Me Yet,978-0-385-51218-3,H,
Levin,Ira,The Stepford Wives,,S,
Levitt,Steven D.,Freakonomics,0-06-073132-X,H,Qty: 2
Lieder,Paul Robert,British Poetry and Prose,,H,
Liedloff,Jean,The Continuum Concept,0-201-05071-4,S,
Lillibridge,Will,Where the Trail Divides,,H,
Lincoln,Abraham,Great Speeches,0-486-26872-1,S,
Lindbergh,Anne Morrow,Gift from the Sea,0-394-41255-9,H,
Lindbergh,Anne Morrow,Gift from the Sea,0-394-72455-0,S,
Lindsey,Hal,The Late Great Planet Earth,,S,Library of Congress Catalog Card No. 71-121359
Lindsey,Hal,The Late Great Planet Earth,0-310-27772-8,S,
Lindsey,Robert,The Falcon and the Snowman,0-671-41160-8,S,
Lippmann,Walter,A Preface to Morals,,H,
Lloyd,G.E.R.,Early Greek Science: Thales to Aristotle,0-393-00583-6,S,
London,Jack,Short Stories,0-02-567180-4,H,
London,Jack,The Sea Wolf,0-89577-338-4,H,
Lopez,Barry Holstun,Of Wolves and Men,0-684-16322-5,S,
Sandars,N.K.,The Epic of Gilgamesh,0-14-044100-X,S,
Vanbrugh,Sir John,The Mermaid Series: Sir John Vanbrugh,,H,
Wycherley,William,The Mermaid Series: William Wycherley,,H,
